,Model,Sensitivity,Specificity,Accuracy,Balanced Accuracy,F2 Score,ROC AUC,Brier Score
0,Brazil on India 375,0.0666666666666666,0.9766666666666668,0.7946666666666666,0.5216666666666667,0.0801282051282051,0.5922666666666667,0.1601124897530923
1,Brazil on India Smote,0.1033333333333333,0.9833333333333332,0.5433333333333333,0.5433333333333333,0.1254045307443365,0.6575777777777777,0.3184234881875294
2,Brazil on Italy,0.4156862745098039,0.9245585874799358,0.6440922190201729,0.6701224309948699,0.4642335766423358,0.7931755473725071,0.2312441394644559
0,Italy on Indian 375,0.4266666666666667,0.5533333333333333,0.528,0.49,0.3433476394849785,0.4946222222222223,0.2946027489385421
1,Italy on Indian 600,0.49,0.5133333333333333,0.5016666666666667,0.5016666666666667,0.492297387809779,0.5429444444444445,0.2959195815471863
2,Italy on Brazil,0.7306836248012719,0.6260403602781894,0.6536589459550185,0.6783619925397306,0.6327789404119396,0.7403013145466552,0.2419426681621511
