y_true,y_proba
0,0.115620464
0,0.9105535
0,0.14957891
0,0.49844652
0,0.7470674
0,0.61740243
0,0.2952099
0,0.7042818
0,0.81288964
0,0.401105
0,0.23941556
0,0.6140331
0,0.6154817
0,0.5886931
0,0.6393922
0,0.117407985
0,0.86228293
0,0.3071578
0,0.7154283
0,0.8624878
0,0.2820592
0,0.17603289
0,0.5645031
0,0.06876086
0,0.6066591
0,0.11166128
0,0.11079937
0,0.19748618
0,0.5565692
0,0.50049096
0,0.16705276
0,0.04527814
0,0.7488923
0,0.09289
0,0.6887009
0,0.93900126
0,0.60393685
0,0.89415354
0,0.77532
0,0.523074
0,0.12261569
0,0.9143805
0,0.4989941
0,0.25085312
0,0.3120491
0,0.5215631
0,0.27088267
0,0.10532612
0,0.42367795
0,0.25532848
0,0.8305079
0,0.32045305
0,0.782655
0,0.7863295
0,0.86263645
0,0.8790162
0,0.26724362
0,0.26059994
0,0.71517175
0,0.43338066
0,0.74863315
0,0.54240835
0,0.32116088
0,0.7734681
0,0.80480415
0,0.5385277
0,0.25091475
0,0.22132634
0,0.2074282
0,0.3790664
0,0.47400463
0,0.52376866
0,0.53064466
0,0.092066936
0,0.42431846
0,0.30694786
0,0.13614948
0,0.50117946
0,0.50358766
0,0.6521511
0,0.19531572
0,0.625458
0,0.13927963
0,0.38003483
0,0.867985
0,0.24193066
0,0.2095644
0,0.5584295
0,0.4967012
0,0.5694196
0,0.10634973
0,0.10095451
0,0.34584013
0,0.7995388
0,0.74084795
0,0.10014624
0,0.7970801
0,0.67647016
0,0.82074505
0,0.27250752
0,0.35647258
0,0.19990857
0,0.3688045
0,0.18182367
0,0.8045603
0,0.2655754
0,0.5089515
0,0.7598009
0,0.15660314
0,0.23641333
0,0.5315229
0,0.23741467
0,0.4212066
0,0.34602883
0,0.69417155
0,0.59838617
0,0.17768022
0,0.37205982
0,0.80916345
0,0.070276804
0,0.46517384
0,0.10554467
0,0.5665492
0,0.76223093
0,0.7275973
0,0.52226293
0,0.15887626
0,0.6506822
0,0.3298657
0,0.13800901
0,0.104225636
0,0.6221539
0,0.51079136
0,0.097319916
0,0.4904565
0,0.51500756
0,0.5027404
0,0.116437756
0,0.10276473
0,0.15094976
0,0.47400463
0,0.26869643
0,0.5352241
0,0.30662763
0,0.5199241
0,0.3526229
0,0.86814374
0,0.3766948
0,0.8420768
0,0.19913246
0,0.12102239
0,0.49683714
0,0.9347537
0,0.7279351
0,0.3012764
0,0.06632168
0,0.84566903
0,0.28143582
0,0.6539418
0,0.13854215
0,0.8152805
0,0.36248934
0,0.20343898
0,0.22526386
0,0.42310393
0,0.36413863
0,0.19725902
0,0.4783571
0,0.49575168
0,0.6171129
0,0.6171129
0,0.20528655
0,0.8864088
0,0.13387859
0,0.3215064
0,0.4653771
0,0.11178806
0,0.42025536
0,0.40446728
0,0.7707692
0,0.7760696
0,0.39908823
0,0.15389833
0,0.6472265
0,0.48509163
0,0.75973123
0,0.31002867
0,0.2666428
0,0.4971671
0,0.8345228
0,0.8302246
0,0.8822586
0,0.8132177
0,0.16020128
0,0.3231655
0,0.49872333
0,0.44794616
0,0.51861924
0,0.7722809
0,0.7435013
0,0.27177742
0,0.1957099
0,0.8582344
0,0.49854547
0,0.1911056
0,0.07025227
0,0.6397522
0,0.48981187
0,0.8813277
0,0.19031057
0,0.8584427
0,0.30762076
0,0.17164756
0,0.78767544
0,0.6272061
0,0.25359148
0,0.7719948
0,0.053045835
0,0.050198432
0,0.63110703
0,0.8657104
0,0.50780267
0,0.8191754
0,0.5629865
0,0.2953441
0,0.6603037
0,0.2757665
0,0.07824203
0,0.8827811
0,0.7405682
0,0.26830882
0,0.83924526
0,0.31050247
0,0.1714932
0,0.6214948
0,0.66534686
0,0.62468195
0,0.7859715
0,0.46621218
0,0.32106552
0,0.6620836
0,0.090373956
0,0.80594295
0,0.6075521
0,0.18681654
0,0.54326457
0,0.25337073
0,0.6866244
0,0.35402033
0,0.6219815
0,0.46517384
0,0.10554467
0,0.5807524
0,0.76223093
0,0.7275973
0,0.52226293
0,0.15887626
0,0.6506822
0,0.3298657
0,0.13800901
0,0.104225636
0,0.6221539
0,0.51079136
0,0.097319916
0,0.4904565
0,0.51500756
0,0.5027404
0,0.116437756
0,0.10276473
0,0.15094976
0,0.47400463
0,0.26869643
0,0.5352241
0,0.30662763
0,0.5199241
0,0.3526229
0,0.86814374
0,0.3766948
0,0.8420768
0,0.19913246
0,0.12102239
0,0.43917003
0,0.8412079
0,0.7279351
0,0.3012764
0,0.06632168
0,0.84566903
0,0.28143582
0,0.6539418
0,0.13854215
0,0.8152805
0,0.36248934
0,0.20343898
0,0.22526386
0,0.42310393
0,0.36413863
0,0.19725902
0,0.4783571
0,0.49575168
0,0.6171129
1,0.9089479
1,0.09713093
1,0.21215717
1,0.5109425
1,0.83653456
1,0.22273655
1,0.49279216
1,0.20465846
1,0.6285445
1,0.061683103
1,0.06828819
1,0.24052683
1,0.27412257
1,0.94953275
1,0.13824953
1,0.82416415
1,0.43582296
1,0.5495881
1,0.61738724
1,0.6355469
1,0.48234946
1,0.08695886
1,0.387152
1,0.7128254
1,0.36090136
1,0.5108911
1,0.94259024
1,0.33692002
1,0.11821969
1,0.19880044
1,0.92909
1,0.25590515
1,0.94708455
1,0.19444738
1,0.49819008
1,0.9496472
1,0.14195351
1,0.18761021
1,0.092526406
1,0.2611631
1,0.891095
1,0.9352615
1,0.8242798
1,0.18195052
1,0.92899764
1,0.894482
1,0.5927925
1,0.51796806
1,0.06254786
1,0.13813253
1,0.23536812
1,0.19186905
1,0.29661575
1,0.5150673
1,0.8735246
1,0.75936127
1,0.56492984
1,0.17053498
1,0.2350929
1,0.5206429
1,0.25727352
1,0.30045718
1,0.8454006
1,0.9300046
1,0.86775583
1,0.26680833
1,0.46673107
1,0.14441612
1,0.09792782
1,0.26875743
1,0.5521113
1,0.33565548
1,0.1277281
1,0.20837046
1,0.89390296
