Model,Sensitivity,Specificity,Accuracy,Balanced Accuracy,F2 Score,ROC AUC,Brier Score
Italy on Indian 375,0.44,0.5133333333333333,0.49866666666666665,0.4766666666666667,0.3444676409185804,0.5171555555555556,0.36371680492127717
Italy on Indian 600,0.5166666666666667,0.57,0.5433333333333333,0.5433333333333333,0.5222371967654987,0.5786777777777777,0.33448093854538125
Italy on Brazil,0.7271860095389507,0.6209098164405427,0.6489593823430682,0.6740479129897468,0.6285729991204926,0.7313747120469809,0.2746884905700146
