Model,Sensitivity,Specificity,Accuracy,Balanced Accuracy,F2 Score,ROC AUC,Brier Score
Brazil on India 375,0.06666666666666667,0.9766666666666667,0.7946666666666666,0.5216666666666667,0.08012820512820513,0.5922666666666667,0.16011248975309234
Brazil on India Smote,0.10333333333333333,0.9833333333333333,0.5433333333333333,0.5433333333333333,0.12540453074433655,0.6575777777777777,0.3184234881875294
Brazil on Italy,0.41568627450980394,0.9245585874799358,0.6440922190201729,0.6701224309948699,0.4642335766423358,0.7931755473725071,0.2312441394644559
