Model,Sensitivity,Specificity,Accuracy,Balanced Accuracy,F2 Score,ROC AUC,Brier Score
Brazil on India 375,0.14666666666666667,0.8466666666666667,0.7066666666666667,0.4966666666666667,0.15406162464985992,0.4966666666666667,0.20504474862109934
Brazil on India Smote,0.17666666666666667,0.86,0.5183333333333333,0.5183333333333333,0.20463320463320464,0.5183333333333333,0.3498039713894438
Brazil on Italy,0.42091503267973857,0.8619582664526485,0.6188760806916427,0.6414366495661935,0.46424452133794697,0.6414366495661935,0.2605174121817328
