Model,Best_Params,Train_CV_Accuracy,Test_Accuracy,Selected_Features,Num_Features,K_Features_Selected
XGBoost,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'select__k': 12}",0.9666666666666666,0.9733333333333334,"['Haemoglobin(gms%)', 'Total WBC Count(/Cumm)', 'Neutrophils(%)', 'Lymphocytes(%)', 'Eosinophils(%)', 'Monocytes(%)', 'Total RBC Count(millions/Cu)', 'MCV(f L)', 'MCH(pg)', 'MCHC(gms%)', 'RDWCV(%)', 'Platelet Count(Lakh / Cumm)']",12,12
AdaBoost,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'select__k': 5}",0.9566666666666667,0.9733333333333334,"['Total WBC Count(/Cumm)', 'Neutrophils(%)', 'Lymphocytes(%)', 'Eosinophils(%)', 'MCHC(gms%)']",5,5
RandomForest,"{'model__max_depth': 7, 'model__n_estimators': 50, 'select__k': 11}",0.9566666666666667,0.9733333333333334,"['Haemoglobin(gms%)', 'Total WBC Count(/Cumm)', 'Neutrophils(%)', 'Lymphocytes(%)', 'Eosinophils(%)', 'Monocytes(%)', 'Total RBC Count(millions/Cu)', 'MCV(f L)', 'MCH(pg)', 'MCHC(gms%)', 'Platelet Count(Lakh / Cumm)']",11,11
DecisionTree,"{'model__criterion': 'entropy', 'model__max_depth': 5, 'select__k': 14}",0.9533333333333334,0.9333333333333333,"['Haemoglobin(gms%)', 'Total WBC Count(/Cumm)', 'Neutrophils(%)', 'Lymphocytes(%)', 'Eosinophils(%)', 'Monocytes(%)', 'Basophils(%)', 'Total RBC Count(millions/Cu)', 'HCT(%)', 'MCV(f L)', 'MCH(pg)', 'MCHC(gms%)', 'RDWCV(%)', 'Platelet Count(Lakh / Cumm)']",14,14
