y_true,y_proba
0.0,0.009856355
1.0,0.10272916
0.0,0.90898055
0.0,0.11172154
0.0,0.02216643
1.0,0.13606101
0.0,0.029705476
1.0,0.8480418
0.0,0.9797824
0.0,0.9826843
1.0,0.99735945
0.0,0.11806698
0.0,0.14077632
0.0,0.008823207
0.0,0.24775466
0.0,0.5766938
1.0,0.98142254
0.0,0.023548624
0.0,0.56806934
1.0,0.9667241
0.0,0.5604717
1.0,0.90244377
0.0,0.9984257
0.0,0.03643641
0.0,0.048939556
0.0,0.019948734
0.0,0.97745377
0.0,0.007921556
0.0,0.018026939
0.0,0.75700426
0.0,0.0469366
1.0,0.9980757
1.0,0.0016205797
0.0,0.2860099
0.0,0.6358352
0.0,0.06271688
0.0,0.64993435
0.0,0.00168196
0.0,0.9335234
0.0,0.9671106
0.0,0.05785093
0.0,0.013301965
0.0,0.10307121
0.0,0.23026147
1.0,0.95838326
0.0,0.91256315
0.0,0.31727877
0.0,0.07395095
0.0,0.91896737
0.0,0.9795329
0.0,0.98250234
0.0,0.9566178
1.0,0.9974323
1.0,0.5413963
1.0,0.9551698
0.0,0.9001001
0.0,0.05510927
0.0,0.87374043
0.0,0.004416382
1.0,0.8124984
0.0,0.004640967
0.0,0.008612115
1.0,0.5783675
0.0,0.3999845
0.0,0.10145466
0.0,0.0070061465
0.0,0.71871305
1.0,0.8746765
0.0,0.0039169756
0.0,0.98017657
0.0,0.6812364
0.0,0.003685744
0.0,0.009219352
0.0,0.932288
1.0,0.8240078
0.0,0.009055367
0.0,0.22636928
0.0,0.032409884
0.0,0.00050245714
0.0,0.004786046
0.0,0.0032369464
0.0,0.16362476
0.0,0.35149533
1.0,0.18822347
1.0,0.18342066
1.0,0.046904895
1.0,0.8931339
0.0,0.05126642
1.0,0.47679633
0.0,0.9781677
1.0,0.9929496
0.0,0.38021636
0.0,0.9730809
0.0,0.04855354
1.0,0.7887817
0.0,0.7840471
1.0,0.93843275
1.0,0.98652995
0.0,0.45103845
0.0,0.02653322
1.0,0.9961165
1.0,0.9791996
0.0,0.44156712
0.0,0.062135067
0.0,0.053038757
0.0,0.0058197887
0.0,0.06948805
1.0,0.24674107
0.0,0.9058295
1.0,0.64367896
0.0,0.80216557
0.0,0.3356635
0.0,0.6736083
0.0,0.012234907
0.0,0.08327703
0.0,0.9682004
0.0,0.43282673
0.0,0.11984312
0.0,0.019407548
0.0,0.22741671
0.0,0.98442715
0.0,0.3304109
1.0,0.99948907
0.0,0.25125533
0.0,0.02270065
0.0,0.9629699
0.0,0.22215351
0.0,0.21678208
0.0,0.022283884
0.0,0.01771288
1.0,0.92732704
0.0,0.99475104
0.0,0.034449067
1.0,0.975271
0.0,0.08239357
0.0,0.05929907
0.0,0.6969156
0.0,0.7204347
0.0,0.87423295
1.0,0.78491133
0.0,0.9991504
0.0,0.10985524
0.0,0.03723194
0.0,0.9366533
1.0,0.70924854
1.0,0.9971691
0.0,0.31066456
1.0,0.8946962
0.0,0.02119559
0.0,0.7173108
0.0,0.8402756
0.0,0.018437771
0.0,0.3751547
0.0,0.55330735
0.0,0.0116726775
0.0,0.21523772
0.0,0.016424611
1.0,0.9979042
0.0,0.054098625
0.0,0.7969413
0.0,0.9925033
0.0,0.27632594
0.0,0.18230498
0.0,0.5229355
0.0,0.557575
