Model,Sensitivity,Specificity,Accuracy,Balanced Accuracy,F2 Score,ROC AUC,Brier Score
Italy on Indian 375,0.4266666666666667,0.5533333333333333,0.528,0.49,0.34334763948497854,0.4946222222222223,0.29460274893854216
Italy on Indian 600,0.49,0.5133333333333333,0.5016666666666667,0.5016666666666667,0.49229738780977905,0.5429444444444445,0.2959195815471863
Italy on Brazil,0.7306836248012719,0.6260403602781894,0.6536589459550185,0.6783619925397306,0.6327789404119396,0.7403013145466552,0.24194266816215118
